Acolyte, I judge others harshly, and myself even more severely.
Acolyte, I put too much trust in those who wield power within my temple's hierarchy.
Acolyte, My piety sometimes leads me to blindly trust those that profess faith in my god.
Acolyte, I am inflexible in my thinking.
Acolyte, I am suspicious of strangers and expect the worst of them.
Acolyte, Once I pick a goal, I become obsessed with it to the detriment of everything else in my life.
Charlatan, I can't resist a pretty face.
Charlatan, I'm always in debt. I spend my ill-gotten gains on decadent luxuries faster than I can bring them in...
Charlatan, I'm convinced that no one could ever fool me the way I fool others.
Charlatan, I'm too greedy for my own good. I can't resist taking a risk if there's money involved.
Charlatan, I can't resist swindling people who are more powerful than me.
Charlatan, I hate to admit it and will hate myself for it, but I'll run and preserve my own hide if the going gets tough.
Criminal, When I see something valuable, I can't think about anything but how to steal it.
Criminal, When faced with a choice between money and my friends, I usually choose the money.
Criminal, If there's a plan, I'll forget it. If I don't forget it, I'll ignore it.
Criminal, I have a "tell" that reveals when I'm lying.
Criminal, I turn tail and run when things look bad.
Criminal, An innocent person is in prison for a crime that I committed. I'm okay with that.
Entertainer, I'll do anything to win fame and renown.
Entertainer, I'm a sucker for a pretty face.
Entertainer, A scandal prevents me from ever going home again. That kind of trouble seems to follow me around.
Entertainer, I once satirized a noble who still wants my head. It was a mistake that I will likely repeat.
Entertainer, I have trouble keeping my true feelings hidden. My sharp tongue lands me in trouble.
Entertainer, Despite my best efforts, I am unreliable to my friends.
FolkHero, The tyrant who rules my land will stop at nothing to see me killed.
FolkHero, I'm convinced of the significance of my destiny, and blind to my shortcomings and the risk of failure.
FolkHero, The people who knew me when I was young know my shameful secret, so I can never go home again.
FolkHero, I have a weakness for the vices of the city, especially hard drink.
FolkHero, Secretly, I believe that things would be better if I were a tyrant lording over the land.
FolkHero, I have trouble trusting in my allies.
GuildArtisan, I'll do anything to get my hands on something rare or priceless.
GuildArtisan, I'm quick to assume that someone is trying to cheat me.
GuildArtisan, No one must ever learn that I once stole money from guild coffers.
GuildArtisan, I'm never satisfied with what I have. I always want more.
GuildArtisan, I would kill to acquire a noble title.
GuildArtisan, I'm horribly jealous of anyone who can outshine my handiwork. Everywhere I go, I'm surrounded by rivals.
Hermit, Now that I've returned to the world, I enjoy its delights a little too much.
Hermit, I harbor dark, bloodthirsty thoughts that my isolation and meditation failed to quell.
Hermit, I am dogmatic in my thought and philosophy.
Hermit, I let my need to win arguments overshadow friendships and harmony.
Hermit, I'd risk too much to uncover a lost bit of knowledge.
Hermit, I like keeping secrets and won't share them with anyone.
Noble, I secretly believe that everyone is beneath me.
Noble, I hide a truly scandalous secret that could ruin my family.
Noble, I too often hear veiled insults and threats in every word addressed to me, and I'm quick to anger.
Noble, I have an insatiable desire for carnal pleasures.
Noble, In fact, the world does revolve around me.
Noble, By my words and actions, I often bring shame to my family.
Outlander, I am too enamored of ale, wine, and other intoxicants.
Outlander, There's no room for caution in a life lived to the fullest.
Outlander, I remember every insult I've received and nurse a silent resentment toward anyone who's ever wronged me.
Outlander, I am slow to trust members of other races, tribes, and societies.
Outlander, Violence is my answer to almost any challenge.
Outlander, Don't expect me to save those who can't save themselves. It is nature's way that the strong thrive and the weak perish.
Sage, I am easily distracted by the promise of information.
Sage, Most people scream and run when they see a demon. I stop and take notes on its anatomy.
Sage, Unlocking an ancient mystery is worth the price of a civilization.
Sage, I overlook obvious solutions in favor of complicated ones.
Sage, I speak without really thinking through my words, invariably insulting others.
Sage, I can't keep a secret to save my life, or anyone else's.
Sailor, I follow orders, even if I think they're wrong.
Sailor, I'll say anything to avoid having to do extra work.
Sailor, Once someone questions my courage, I never back down no matter how dangerous the situation.
Sailor, Once I start drinking, it's hard for me to stop.
Sailor, I can't help but pocket loose coins and other trinkets I come across.
Sailor, My pride will probably lead to my destruction.
Soldier, The monstrous enemy we faced in battle still leaves me quivering with fear.
Soldier, I have little respect for anyone who is not a proven warrior.
Soldier, I made a terrible mistake in battle that cost many lives, and I would do anything to keep that mistake secret.
Soldier, My hatred of my enemies is blind and unreasoning.
Soldier, I obey the law, even if the law causes misery.
Soldier, I'd rather eat my armor than admit when I'm wrong.
Urchin, If I'm outnumbered, I will run away from a fight.
Urchin, Gold seems like a lot of money to me, and I'll do just about anything for more of it.
Urchin, I will never fully trust anyone other than myself.
Urchin, I'd rather mill someone in their sleep than fight fair.
Urchin, It's not stealing if I need it more than someone else.
Urchin, People who can't take care of themselves get what they deserve.
