Acolyte, I idolize a particular hero of my faith, and constantly refer to that person's deeds and example.
Acolyte, I can find common ground between the fiercest enemies, empathizing with them and always working towards peace.
Acolyte, I see omens in every event and action. The gods try to speak to us, we just need to listen.
Acolyte, Nothing can shake my optimistic attitude.
Acolyte, I quote (or misquote) sacred texts and proverbs in every situation.
Acolyte, I am tolerant (or intolerant) of other faiths and respect (or condemn) the worship of other gods.
Acolyte, I've enjoyed fine food, drink, and high society among my temple's elite. Rough living grates on me.
Acolyte, I've spent so long in the temple that I have little practical experience dealing with people in the outside world.
Charlatan, I fall in and out of love easily, and am always pursuing someone.
Charlatan, I have a joke for every situation, especially occasions where humor is inappropriate.
Charlatan, Flattery is my preferred trick for getting what I want.
Charlatan, I'm a born gambler who can't resist taking a risk for a potential payoff.
Charlatan, I lie about almost everything, even when there's no good reason to.
Charlatan, Sarcasm and insults are my weapons of choice.
Charlatan, I keep multiple holy symbols on me and invoke whatever deity might come in useful at any given moment.
Charlatan, I pocket anything I see that might have some value.
Criminal, I always have a plan for what to do when things go wrong.
Criminal, I am always calm, no matter what the situation. I never raise my voice or let my emotions control me.
Criminal, The first thing I do in a new place is note the locations of everything valuable - or where such things could be hidden.
Criminal, I would rather make a new friend than a new enemy.
Criminal, I am incredibly slow to trust. Those who seem the fairest often have the most to hide.
Criminal, I don't pay attention to the risks in a situation. Never tell me the odds.
Criminal, The best way to get me to do something is to tell me I can't do it.
Criminal, I blow up at the slightest insult.
Entertainer, I know a story relevant to almost every situation.
Entertainer, Whenever I come to a new place, I collect local rumors and spread gossip.
Entertainer, I'm a hopeless romantic, always searching for that "special someone."
Entertainer, Nobody stays angry at me or around me for long, since I can defuse any amount of tension.
Entertainer, I love a good insult, even one directed at me.
Entertainer, I get bitter if I'm not the center of attention.
Entertainer, I'll settle for nothing less than perfection.
Entertainer, I change my mood or my mind as quickly as I change key in a song.
FolkHero, I judge people by their actions, not their words.
FolkHero, If someone is in trouble, I'm always ready to lend help.
FolkHero, When I set my mind to something, I follow through no matter what gets in my way.
FolkHero, I have a strong sense of fair play and always try to find the most equitable solution to arguments.
FolkHero, I'm confident in my own abilities and do what I can to instill confidence in others.
FolkHero, Thinking is for other people. I prefer action.
FolkHero, I misuse long words in an attempt to sound smarter.
FolkHero, I get bored easily. When am I going to get on with my destiny?
GuildArtisan, I believe that anything worth doing is worth doing right. I can't help it - I'm a perfectionist.
GuildArtisan, I'm a snob who looks down on those who can't appreciate fine art.
GuildArtisan, I always want to know how things work and what makes people tick.
GuildArtisan, I'm full of witty aphorisms and have a proverb for every situation.
GuildArtisan, I'm rude to people who lack my commitment to hard work and fair play.
GuildArtisan, I like to talk at length about my profession.
GuildArtisan, I don't part with my money easily and will haggle tirelessly to get the best deal possible.
GuildArtisan, I'm well known for my work, and I want to make sure everyone appreciates it. I'm always taken aback when people haven't heard of me.
Hermit, I've been isolated for so long that I rarely speak, preferring gestures and the occasional grunt.
Hermit, I am utterly serene, even in the face of disaster.
Hermit, The leader of my community had something wise to say on every topic, and I am eager to share that wisdom.
Hermit, I feel tremendous empathy for those who suffer.
Hermit, I'm oblivious to etiquette and social expectations.
Hermit, I connect everything that happens to me to a grand, cosmic plan.
Hermit, I often get lost in my own thoughts and contemplation, becoming oblivious to my surroundings.
Hermit, I am working on a grand philosophical theory and love sharing my ideas.
Noble, My eloquent flattery makes everyone I talk to feel like the most wonderful and important person in the world.
Noble, The common folk love me for my kindness and generosity.
Noble, No one could doubt by looking at my regal bearing that I am a cut above the unwashed masses.
Noble, I take great pains to always look my best and follow the latest fashions.
Noble, I don't like to get my hands dirty, and I won't be caught dead in unsuitable accommodations.
Noble, Despite my noble birth, I do not place myself above other folk. We all have the same blood.
Noble, My favor, once lost, is lost forever.
Noble, If you do me an injury, I will crush you, ruin your name, and salt your fields.
Outlander, I'm driven by a wanderlust that led me away from home.
Outlander, I watch over my friends as if they were a litter of newborn pups.
Outlander, I once ran twenty-five miles without stopping to warn my clan of an approaching orc horde. I'd do it again if I had to.
Outlander, I have a lesson for every situation, drawn from observing nature.
Outlander, I place no stock in wealthy or well-mannered folk. Money and manners won't save you from a hungry owlbear.
Outlander, I'm always picking things up, absently fiddling with them, and sometimes accidentally breaking them.
Outlander, I feel far more comfortable around animals than people.
Outlander, I was, in fact, raised by wolves.
Sage, I use polysyllabic words that convey the impression of great erudition.
Sage, I've read every book in the worlds greatest libraries - or I like to boast that I have.
Sage, I'm used to helping out those who aren't as smart as I am, and I patiently explain anything and everything to others.
Sage, There's nothing I like more than a good mystery.
Sage, I'm willing to listen to every side of an argument before I make my own judgement.
Sage, I... speak... slowly... when talking... to idiots... which... almost... everyone... is... compared... to me.
Sage, I am horribly, horribly awkward in social situations.
Sage, I'm convinced people are always trying to steal my secrets.
Sailor, My friends know they can rely on me, no matter what.
Sailor, I work hard so that I can play hard when the work is done.
Sailor, I enjoy sailing into new ports and making new friends over a flagon of ale.
Sailor, I stretch the truth for the sake of a good story.
Sailor, To me, a tavern brawl is a nice way to get to know a new city.
Sailor, I never pass up a friendly wager.
Sailor, My language is as foul as an otyugh nest.
Sailor, I like a job well done, especially if I can convince someone else to do it.
Soldier, I'm always polite and respectful.
Soldier, I'm haunted by memories of war. I can't get the images of violence out of my mind.
Soldier, I've lost too many friends, and I'm slow to make new ones.
Soldier, I'm full of inspiring and cautionary tales from my military experience relevant to almost every combat situation.
Soldier, I can stare down a hellhound without flinching.
Soldier, I enjoy being strong and like breaking things.
Soldier, I have a crude sense of humor.
Soldier, I face problems head-on. A simple, direct solution is the best path to success.
Urchin, I hide scraps of food and trinkets away in my pockets.
Urchin, I ask a lot of questions.
Urchin, I like to squeeze into small places where no one else can get to me.
Urchin, I sleep with my back to a wall or tree, with everything I own wrapped in a bundle in my arms.
Urchin, I eat like a pig and have bad manners.
Urchin, I think anyone who's nice is hiding evil intent.
Urchin, I don't like to bathe.
Urchin, I bluntly say what other people are hinting or hiding.
